symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
095570.KS,4005.0,KRW,0.5300798430010603,0,0,0,0,0.2404847864057868,0.15902395290031807,N/A,N/A,
006840.KS,11980.0,KRW,1.25,-1,1,0,0,0.2771829117235101,0.375,156285000000.0,0.29,114654097.2782628
027410.KS,4365.0,KRW,0.91,-1,1,0,0,0.22113451321702693,0.273,417769000000.0,0.23,306484483.8969995
282330.KS,109500.0,KRW,0.429,-1,0,0,0,0.31358559710703826,-0.07130000000000003,1892000000000.0,1.56,1388012618.29653
138930.KS,11190.0,KRW,0.43,-1,1,0,0,0.32921295226300884,0.129,3563000000000.0,0.33,2613894798.620791
001460.KS,38450.0,KRW,0.43,-1,1,0,0,0.2448210483382408,0.129,273390000000.0,0.56,200564888.8562835
001465.KS,16420.0,KRW,0.43,-1,1,0,1,0.18059055819751169,0.279,272096999999.99997,0.24,199616315.750862
001040.KS,151900.0,KRW,0.43,-1,1,0,-1,0.522287976407958,-0.02099999999999999,4110000000000.0005,0.84,3015185973.1494393
079160.KS,4915.0,KRW,1.19,-1,0,0,0,0.30048754582472853,0.15699999999999997,813826000000.0,1.18,597040569.2905877
00104K.KS,122600.0,KRW,0.43,-1,1,0,-1,0.4284992705222018,-0.02099999999999999,4027999999999.9995,0.69,2955028978.0647054
000120.KS,83500.0,KRW,0.5,-1,1,0,0,0.3307462758887214,0.15,1665000000000.0,0.4,1221480448.9765975
011150.KS,3035.0,KRW,0.59,-1,0,0,-1,0.5631269497040661,-0.17300000000000001,109051000000.0,1.27,80002200.86567384
011155.KS,18180.0,KRW,0.59,-1,-1,0,-1,0.8097098023455901,-0.373,111388000000.0,7.45,81716675.22558874
001045.KS,86500.0,KRW,0.43,-1,1,0,0,0.2670450001832442,0.129,4073000000000.0005,0.48,2988041963.1721816
097950.KS,236500.0,KRW,0.31,-1,1,0,0,0.3347212735431978,0.093,3476000000000.0,0.47,2550069694.0796714
097955.KS,140400.0,KRW,0.31,-1,1,0,0,0.20099234826076232,0.093,3459000000000.0,0.28,2537598121.9279585
000480.KS,5420.0,KRW,0.75,-1,1,0,1,0.1791807247419716,0.375,223611000000.0,0.37,164045924.73039398
000590.KS,86300.0,KRW,0.71,-1,1,0,1,0.1974829519060301,0.363,88857000000.0,0.26,65187440.39322134
012030.KS,1481.0,KRW,0.34,-1,1,0,-1,0.4303783415311629,-0.04799999999999999,282917000000.0,0.65,207554104.61448172
005830.KS,103700.0,KRW,0.17,-1,1,0,-1,0.40178026578280823,-0.099,6227000000000.0,0.73,4568263516.983347
016610.KS,7850.0,KRW,0.95,-1,1,0,0,0.3722239236402259,0.285,315012000000.0,0.29,231099699.2150246
000990.KS,42850.0,KRW,1.35,-1,1,0,-1,0.6108060429067277,0.255,1769000000000.0,0.91,1297777125.66943
000300.KS,1172393.0,KRW,-2.826830037453754,1,0,1,-1,14.151840700021053,-0.6480490112361261,300000.0,N/A,220.08656738317072
001530.KS,33900.0,KRW,0.88,-1,0,0,0,0.3669628538246592,0.064,668535000000.0,1.26,490451911.0850268
015590.KS,515.0,KRW,0.4,-1,1,0,-1,0.4540515663312693,-0.03,122046000000.0,0.97,89535617.34282151
000210.KS,49900.0,KRW,0.34,-1,1,0,-1,0.45022558476145835,-0.04799999999999999,1087000000000.0,0.25,797446995.8183553
000215.KS,24000.0,KRW,0.34,-1,1,0,0,0.2859319103140193,0.10200000000000001,1028999999999.9999,0.12,754896926.1242756
375500.KS,49650.0,KRW,0.66,-1,1,0,-1,0.4107013951212426,0.048000000000000015,1946000000000.0,0.4,1427628200.4255009
37550L.KS,32050.0,KRW,0.66,-1,0,0,0,0.3024712674805833,-0.0020000000000000018,98000000000000.0,2.84,71894945345.1691
37550K.KS,21000.0,KRW,0.66,-1,1,0,-1,0.4297434472390377,0.048000000000000015,1938000000000.0,0.17,1421759225.2952828
007340.KS,22300.0,KRW,0.68,-1,1,0,0,0.3815078824789066,0.20400000000000001,1154000000000.0,0.63,846599662.5339301
004840.KS,4670.0,KRW,0.65,-1,1,0,0,0.34619451424660524,0.195,90002000000.0,0.22,66027437.458733775
155660.KS,3950.0,KRW,0.73,-1,1,0,0,0.3520591639492378,0.219,63200000000.0,0.26,46364903.5287213
069730.KS,3690.0,KRW,0.83,-1,1,0,0,0.3810039802598013,0.24899999999999997,53136000000.0,0.31,38981732.8149072
017860.KS,25450.0,KRW,1.398,-1,0,0,-1,0.9196002127295291,0.06939999999999993,447518000000.0,1.54,328309001.540606
092780.KS,4530.0,KRW,0.65,-1,1,0,0,0.37584856678261397,0.195,57173000000.0,0.4,41943364.3899934
017940.KS,76600.0,KRW,0.56,-1,1,0,0,0.2570225907996779,0.168,442882000000.0,0.25,324907930.4526447
365550.KS,4450.0,KRW,2.49,-1,1,0,0,0.25302262355634775,0.7469999999999999,953510000000.0,0.87,699515809.5517571
383220.KS,75100.0,KRW,0.62,-1,0,0,-1,0.508973492393076,-0.164,2822000000000.0,1.78,2070280977.1843593
007700.KS,16690.0,KRW,1.76,-1,1,0,0,0.29822345910146303,0.528,652077000000.0,0.27,478377961.9983861
114090.KS,14290.0,KRW,0.46,-1,0,0,0,0.2648014326015405,-0.062,883918000000.0,2.19,648461594.8939917
078930.KS,45050.0,KRW,0.34,-1,1,0,0,0.3701698443271676,0.10200000000000001,4259000000000.0005,0.29,3124495634.9497476
006360.KS,23100.0,KRW,0.84,-1,1,0,-1,0.42479799320682854,0.10200000000000001,1961000000000.0,0.43,1438632528.7946594
001250.KS,2655.0,KRW,0.75,-1,1,0,-1,0.6821449192681414,0.07499999999999998,219025000000.0,0.4,160681534.73699656
007070.KS,15390.0,KRW,0.16,-1,1,0,-1,0.44525814562779326,-0.10200000000000001,1287000000000.0,0.4,944171374.0738025
078935.KS,41200.0,KRW,0.34,-1,1,0,0,0.3100861611597608,0.10200000000000001,4237000000000.0,0.27,3108355953.341648
499790.KS,32800.0,KRW,0.37,-1,0,0,-1,0.542512704355177,-0.239,650450000000.0,2.43,477184359.181278
012630.KS,20450.0,KRW,0.6,-1,1,0,0,0.3213493700081417,0.18,1022999999999.9999,0.36,750495194.776612
039570.KS,9250.0,KRW,0.29,-1,1,0,0,0.2162387627966056,0.087,212513000000.0,0.82,155904188.9809992
089470.KS,3930.0,KRW,0.55,-1,1,0,0,0.26146520551685215,0.165,101787000000.0,0.3,74673171.44743599
