Code,Name,Market,Marcap
095570,AJ네트웍스,KOSPI,0.0
006840,AK홀딩스,KOSPI,0.0
027410,BGF,KOSPI,0.0
282330,BGF리테일,KOSPI,0.0
138930,BNK금융지주,KOSPI,0.0
001460,BYC,KOSPI,0.0
001465,BYC우,KOSPI,0.0
001040,CJ,KOSPI,0.0
079160,CJ CGV,KOSPI,0.0
00104K,CJ4우(전환),KOSPI,0.0
000120,CJ대한통운,KOSPI,0.0
011150,CJ씨푸드,KOSPI,0.0
011155,CJ씨푸드1우,KOSPI,0.0
001045,CJ우,KOSPI,0.0
097950,CJ제일제당,KOSPI,0.0
097955,CJ제일제당 우,KOSPI,0.0
000480,CR홀딩스,KOSPI,0.0
000590,CS홀딩스,KOSPI,0.0
012030,DB,KOSPI,0.0
005830,DB손해보험,KOSPI,0.0
016610,DB증권,KOSPI,0.0
000990,DB하이텍,KOSPI,0.0
000300,DH오토넥스,KOSPI,0.0
001530,DI동일,KOSPI,0.0
015590,DKME,KOSPI,0.0
000210,DL,KOSPI,0.0
000215,DL우,KOSPI,0.0
375500,DL이앤씨,KOSPI,0.0
37550L,DL이앤씨2우(전환),KOSPI,0.0
37550K,DL이앤씨우,KOSPI,0.0
007340,DN오토모티브,KOSPI,0.0
004840,DRB동일,KOSPI,0.0
155660,DSR,KOSPI,0.0
069730,DSR제강,KOSPI,0.0
017860,DS단석,KOSPI,0.0
092780,DYP,KOSPI,0.0
017940,E1,KOSPI,0.0
365550,ESR켄달스퀘어리츠,KOSPI,0.0
383220,F&F,KOSPI,0.0
007700,F&F홀딩스,KOSPI,0.0
114090,GKL,KOSPI,0.0
078930,GS,KOSPI,0.0
006360,GS건설,KOSPI,0.0
001250,GS글로벌,KOSPI,0.0
007070,GS리테일,KOSPI,0.0
078935,GS우,KOSPI,0.0
499790,GS피앤엘,KOSPI,0.0
012630,HDC,KOSPI,0.0
039570,HDC랩스,KOSPI,0.0
089470,HDC현대EP,KOSPI,0.0
294870,HDC현대산업개발,KOSPI,0.0
009540,HD한국조선해양,KOSPI,0.0
267250,HD현대,KOSPI,0.0
267270,HD현대건설기계,KOSPI,0.0
443060,HD현대마린솔루션,KOSPI,0.0
071970,HD현대마린엔진,KOSPI,0.0
010620,HD현대미포,KOSPI,0.0
322000,HD현대에너지솔루션,KOSPI,0.0
042670,HD현대인프라코어,KOSPI,0.0
267260,HD현대일렉트릭,KOSPI,0.0
329180,HD현대중공업,KOSPI,0.0
097230,HJ중공업,KOSPI,0.0
014790,HL D&I,KOSPI,0.0
003580,HLB글로벌,KOSPI,0.0
204320,HL만도,KOSPI,0.0
060980,HL홀딩스,KOSPI,0.0
011200,HMM,KOSPI,0.0
035000,HS애드,KOSPI,0.0
002460,HS화성,KOSPI,0.0
487570,HS효성,KOSPI,0.0
298050,HS효성첨단소재,KOSPI,0.0
003560,IHQ,KOSPI,0.0
015360,INVENI,KOSPI,0.0
175330,JB금융지주,KOSPI,0.0
234080,JW생명과학,KOSPI,0.0
001060,JW중외제약,KOSPI,0.0
001067,JW중외제약2우B,KOSPI,0.0
001065,JW중외제약우,KOSPI,0.0
096760,JW홀딩스,KOSPI,0.0
105560,KB금융,KOSPI,0.0
415640,KB발해인프라,KOSPI,0.0
432320,KB스타리츠,KOSPI,0.0
002380,KCC,KOSPI,0.0
344820,KCC글라스,KOSPI,0.0
009070,KCTC,KOSPI,0.0
009440,KC그린홀딩스,KOSPI,0.0
119650,KC코트렐,KOSPI,0.0
092220,KEC,KOSPI,0.0
003620,KG모빌리티,KOSPI,0.0
016380,KG스틸,KOSPI,0.0
001390,KG케미칼,KOSPI,0.0
033180,KH 필룩스,KOSPI,0.0
001940,KISCO홀딩스,KOSPI,0.0
025000,KPX케미칼,KOSPI,0.0
092230,KPX홀딩스,KOSPI,0.0
000040,KR모터스,KOSPI,0.0
044450,KSS해운,KOSPI,0.0
030200,KT,KOSPI,0.0
033780,KT&G,KOSPI,0.0
058850,KTcs,KOSPI,0.0
058860,KTis,KOSPI,0.0
093050,LF,KOSPI,0.0
003550,LG,KOSPI,0.0
034220,LG디스플레이,KOSPI,0.0
051900,LG생활건강,KOSPI,0.0
051905,LG생활건강우,KOSPI,0.0
064400,LG씨엔에스,KOSPI,0.0
373220,LG에너지솔루션,KOSPI,0.0
003555,LG우,KOSPI,0.0
032640,LG유플러스,KOSPI,0.0
011070,LG이노텍,KOSPI,0.0
066570,LG전자,KOSPI,0.0
066575,LG전자우,KOSPI,0.0
037560,LG헬로비전,KOSPI,0.0
051910,LG화학,KOSPI,0.0
051915,LG화학우,KOSPI,0.0
079550,LIG넥스원,KOSPI,0.0
006260,LS,KOSPI,0.0
010120,LS ELECTRIC,KOSPI,0.0
000680,LS네트웍스,KOSPI,0.0
229640,LS에코에너지,KOSPI,0.0
108320,LX세미콘,KOSPI,0.0
001120,LX인터내셔널,KOSPI,0.0
108670,LX하우시스,KOSPI,0.0
108675,LX하우시스우,KOSPI,0.0
383800,LX홀딩스,KOSPI,0.0
38380K,LX홀딩스1우,KOSPI,0.0
023150,MH에탄올,KOSPI,0.0
035420,NAVER,KOSPI,0.0
181710,NHN,KOSPI,0.0
400760,NH올원리츠,KOSPI,0.0
005940,NH투자증권,KOSPI,0.0
005945,NH투자증권우,KOSPI,0.0
338100,NH프라임리츠,KOSPI,0.0
034310,NICE,KOSPI,0.0
030190,NICE평가정보,KOSPI,0.0
008260,NI스틸,KOSPI,0.0
004250,NPC,KOSPI,0.0
004255,NPC우,KOSPI,0.0
456040,OCI,KOSPI,0.0
010060,OCI홀딩스,KOSPI,0.0
178920,PI첨단소재,KOSPI,0.0
001340,PKC,KOSPI,0.0
005490,POSCO홀딩스,KOSPI,0.0
010950,S-Oil,KOSPI,0.0
010955,S-Oil우,KOSPI,0.0
034120,SBS,KOSPI,0.0
003080,SB성보,KOSPI,0.0
005090,SGC에너지,KOSPI,0.0
001380,SG글로벌,KOSPI,0.0
004060,SG세계물산,KOSPI,0.0
001770,SHD,KOSPI,0.0
002360,SH에너지화학,KOSPI,0.0
009160,SIMPAC,KOSPI,0.0
033530,SJG세종,KOSPI,0.0
123700,SJM,KOSPI,0.0
025530,SJM홀딩스,KOSPI,0.0
034730,SK,KOSPI,0.0
011790,SKC,KOSPI,0.0
018670,SK가스,KOSPI,0.0
001740,SK네트웍스,KOSPI,0.0
006120,SK디스커버리,KOSPI,0.0
006125,SK디스커버리우,KOSPI,0.0
210980,SK디앤디,KOSPI,0.0
395400,SK리츠,KOSPI,0.0
302440,SK바이오사이언스,KOSPI,0.0
326030,SK바이오팜,KOSPI,0.0
402340,SK스퀘어,KOSPI,0.0
361610,SK아이이테크놀로지,KOSPI,0.0
100090,SK오션플랜트,KOSPI,0.0
03473K,SK우,KOSPI,0.0
096770,SK이노베이션,KOSPI,0.0
096775,SK이노베이션우,KOSPI,0.0
475150,SK이터닉스,KOSPI,0.0
001510,SK증권,KOSPI,0.0
001515,SK증권우,KOSPI,0.0
285130,SK케미칼,KOSPI,0.0
28513K,SK케미칼우,KOSPI,0.0
017670,SK텔레콤,KOSPI,0.0
000660,SK하이닉스,KOSPI,0.0
003570,SNT다이내믹스,KOSPI,0.0
064960,SNT모티브,KOSPI,0.0
100840,SNT에너지,KOSPI,0.0
036530,SNT홀딩스,KOSPI,0.0
005610,SPC삼립,KOSPI,0.0
011810,STX,KOSPI,0.0
465770,STX그린로지스,KOSPI,0.0
077970,STX엔진,KOSPI,0.0
002820,SUN&L,KOSPI,0.0
084870,TBH글로벌,KOSPI,0.0
002710,TCC스틸,KOSPI,0.0
069260,TKG휴켐스,KOSPI,0.0
007980,TP,KOSPI,0.0
002900,TYM,KOSPI,0.0
024070,WISCOM,KOSPI,0.0
037270,YG PLUS,KOSPI,0.0
139130,iM금융지주,KOSPI,0.0
000500,가온전선,KOSPI,0.0
000860,강남제비스코,KOSPI,0.0
035250,강원랜드,KOSPI,0.0
011420,갤럭시아에스엠,KOSPI,0.0
002100,경농,KOSPI,0.0
009450,경동나비엔,KOSPI,0.0
267290,경동도시가스,KOSPI,0.0
012320,경동인베스트,KOSPI,0.0
000050,경방,KOSPI,0.0
214390,경보제약,KOSPI,0.0
012610,경인양행,KOSPI,0.0
009140,경인전자,KOSPI,0.0
013580,계룡건설,KOSPI,0.0
012200,계양전기,KOSPI,0.0
012205,계양전기우,KOSPI,0.0
002140,고려산업,KOSPI,0.0
010130,고려아연,KOSPI,0.0
002240,고려제강,KOSPI,0.0
009290,광동제약,KOSPI,0.0
017040,광명전기,KOSPI,0.0
017900,광전자,KOSPI,0.0
037710,광주신세계,KOSPI,0.0
030610,교보증권,KOSPI,0.0
339770,교촌에프앤비,KOSPI,0.0
007690,국도화학,KOSPI,0.0
001140,국보,KOSPI,0.0
002720,국제약품,KOSPI,0.0
083420,그린케미칼,KOSPI,0.0
014530,극동유화,KOSPI,0.0
014280,금강공업,KOSPI,0.0
014285,금강공업우,KOSPI,0.0
008870,금비,KOSPI,0.0
001570,금양,KOSPI,0.0
002990,금호건설,KOSPI,0.0
002995,금호건설우,KOSPI,0.0
011780,금호석유화학,KOSPI,0.0
011785,금호석유화학우,KOSPI,0.0
214330,금호에이치티,KOSPI,0.0
001210,금호전기,KOSPI,0.0
073240,금호타이어,KOSPI,0.0
092440,기신정기,KOSPI,0.0
000270,기아,KOSPI,0.0
024110,기업은행,KOSPI,0.0
013700,까뮤이앤씨,KOSPI,0.0
004540,깨끗한나라,KOSPI,0.0
004545,깨끗한나라우,KOSPI,0.0
001260,남광토건,KOSPI,0.0
008350,남선알미늄,KOSPI,0.0
008355,남선알미우,KOSPI,0.0
004270,남성,KOSPI,0.0
003920,남양유업,KOSPI,0.0
003925,남양유업우,KOSPI,0.0
025860,남해화학,KOSPI,0.0
005720,넥센,KOSPI,0.0
005725,넥센우,KOSPI,0.0
